## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
-38.296, 17.5626, 79.3814, 90.4218, 31.132, -17.4102, 18.046, 41.1211
 52.477, 33.437, 10.4541, 65.5348, -51.2311, -28.4082, 615.981, 618.9
 16.7915, -73.5517, -25.13, 79.8354, -19.3574, 43.2053, -151.39, 158.88
 -32.4273, -133.755, 110.161, 177.61, 44.3616, 98.7374, -57.3649, 123.492
 -5.85282, -63.0744, 2615.94, 2616.72, -4.97655, 36.1085, 23.0923, 43.6186
 11.6858, 39.5951, -129.057, 136.113, -1.16814, -24.6159, -105.364, 108.363
 85.7187, 55.9754, -136.001, 170.729, -80.4212, -29.4951, -197.317, 215.85
 9.19443, 53.0512, -600.079, 602.581, 6.64573, -48.4094, -70.5798, 86.0513
 59.7423, -14.8577, 143.883, 157.205, -51.1576, 23.112, 970.164, 971.848
 42.0006, 34.6105, 93.4959, 108.444, -38.8314, -26.2524, -17.4019, 50.2983
 -88.0995, -16.6017, -714.821, 720.639, 46.6963, 0.71071, -313.68, 317.579
 -67.447, 66.9917, -325.224, 338.925, 26.9638, -70.7931, -261.473, 272.846
 43.4301, 70.1271, -12.5622, 84.5762, -7.16796, -44.0545, -433.016, 435.347
 -64.169, -40.569, -292.119, 302.412, 43.0457, 59.2976, -229.343, 240.946
 63.5636, -50.4909, -132.519, 156.3, -34.3908, 19.4358, -10.0473, 41.9578
 -49.4394, 51.6916, -19.2016, 74.326, 49.6034, -48.4816, -1378.12, 1379.9
 -3.85211, 39.3995, 53.5592, 67.2679, -16.4083, -35.3365, -49.8728, 63.8071
 28.7878, -45.9021, -418.254, 421.985, -34.1062, 38.5932, -647.357, 649.713
 -74.1266, 52.8912, 334.855, 347.141, 65.1444, -47.436, 10.7807, 81.9376
 -50.9393, -24.5575, 41.6056, 70.6323, 34.1027, 34.1513, -0.216915, 49.7834
 19.3203, -57.9865, 85.4802, 105.385, -15.7214, 57.9232, -0.505954, 61.8542
 -34.6278, -59.8675, -503.938, 508.873, 32.2525, 51.0892, -403.332, 408.036
 19.3898, 57.8342, 190.755, 200.432, -13.2018, -44.6728, 132.801, 141.312
 75.0045, -28.3061, -69.9733, 106.839, -54.394, 22.6801, 174.708, 184.551
 90.7843, 39.1184, 587.79, 596.411, -88.5206, -25.0125, -645.494, 652.485
 52.1183, 17.0901, -426.208, 429.94, -38.2475, -30.96, -746.194, 747.845
 53.6213, 22.5899, 6.35675, 59.843, -53.1824, -7.57905, 137.454, 148.036
 63.8611, 5.92382, -5.2052, 64.4965, -53.1405, -9.39048, -67.4862, 86.5132
