## This file consists of events with 2 jets ##
## px(j1), py(j1), pz(j1), E(j1), px(j2), py(j2), pz(j2), E(j2)##
-218.126, -2.12015, -334.729, 400, 183.011, 3.97219, -396.643, 439.097
 185.132, -41.6257, 33.7265, 193.624, -170.535, 24.7014, 96.5906, 198.059
 -20.0476, 157.279, 832.739, 847.827, 31.6292, -131.179, 215.441, 254.5
 80.0429, -18.6438, -539.874, 546.435, -75.8896, 19.5701, 80.842, 115.187
 -188.128, 39.5396, -258.678, 325.139, 165.861, -50.2596, -251.599, 306.006
 -113.284, 100.743, 470.178, 494.325, 108.995, -95.263, 38.5303, 151.265
 94.2734, -185.03, -792.155, 819.126, -82.3961, 186.264, -11.0364, 205.483
 -152.808, -86.1784, 186.217, 257.609, 147.856, 65.6749, 566.188, 589.183
 -56.3839, -123.905, 1689.85, 1695.43, 31.6799, 60.6404, 79.5754, 105.662
 211.775, -46.2802, -444.896, 495.949, -192.453, 29.1059, -371.364, 421.201
 -156.615, 38.8292, -323.051, 362.516, 147.726, -36.6208, -128.457, 200.473
 -180.066, -38.1815, 193.183, 267.957, 172.986, 44.6288, 372.693, 413.902
 -154.618, 35.0275, 122.417, 202.73, 146.078, 11.8099, 7.58664, 147.808
 -80.2242, 85.6002, 131.443, 176.765, 63.5774, -85.5854, -102.443, 148.579
 60.717, -24.962, -123.61, 140.835, -62.5895, 7.02296, 264.925, 272.531
 94.3342, -160.234, 77.7022, 206.028, -101.555, 148.472, 25.9189, 184.088
 36.2213, 164.155, 430.475, 464.49, -23.3797, -67.4039, 88.779, 114.727
 30.0474, 161.178, -59.4966, 175.62, 17.7239, -140.889, -132.447, 194.607
 138.638, -153.452, 141.344, 256.5, -146.905, 137.625, -27.2738, 210.956
 -69.139, -134.859, 296.474, 333.417, 45.1095, 116.792, 0.898875, 128.794
 -104.256, 20.1046, -17.8942, 109.058, 60.8018, -40.3579, 308.394, 317.116
 -136.594, 58.2937, -379.501, 407.89, 116.684, -58.3329, -1507.49, 1513.26
 12.9824, 138.428, -129.22, 190.581, 22.1877, -120.795, 17.4054, 125.213
 -2.77222, -85.1527, 1482.01, 1484.53, 12.4979, 60.3362, 31.5773, 69.451
 -69.721, 88.3794, -105.422, 155.165, 65.2695, -83.9063, -849.545, 856.627
 -150.774, -64.9586, -66.6758, 177.454, 134.786, 58.105, -325.651, 357.967
 -29.9927, 195.569, 550.165, 584.896, 42.0052, -173.612, 319.44, 367.421
 -4.54272, 150.155, -58.9488, 168.058, 20.5042, -107.834, -52.3143, 124.202
 179.008, 22.2024, -324.383, 371.283, -159.063, -38.5215, -84.4605, 187.515
 -29.3897, -55.3907, 119.882, 135.826, 21.2926, 49.6483, -180.902, 189.053
 21.1959, 164.116, -759.269, 777.363, -7.23472, -148.533, -125.562, 195.138
 150.834, -23.3638, 262.959, 304.187, -143.252, 15.4865, -16.5272, 146.567
 -77.6148, -138.052, 151.408, 222.841, 84.5588, 130.738, 3.09056, 156.671
 -107.104, -119.357, -922.655, 937.698, 99.9848, 102.469, -271.201, 308.58
 -185.936, 61.7918, 67.1665, 207.802, 158.202, -62.5989, 149.977, 228.365
 -86.0695, 214.079, 571.912, 618.813, 119.724, -45.8056, 301.687, 328.56
 -0.279976, -74.4585, 431.756, 438.392, -1.50381, 46.255, -60.5103, 76.2442
 34.0019, 17.7263, 145.285, 150.47, -22.5836, 1.59865, -292.472, 293.399
 108.61, -127.626, 1468.57, 1478.4, -91.3942, 123.953, 359.654, 391.803
 120.504, 49.0141, 48.2945, 139.296, -103.774, -37.5824, -249.184, 272.776
 138.519, 130.072, 212.624, 285.998, -112.515, -92.4534, 74.7976, 164.582
 -103.147, -34.7447, -134.396, 173.197, 90.3571, 16.5244, 188.788, 210.245
 146.249, -105.049, 602.82, 629.466, -134.488, 98.3316, 1457.19, 1467.17
 50.0138, -36.7687, 21.7582, 66.3913, -25.4171, 39.241, -500.878, 503.245
 -150.738, -99.2027, -249.53, 308.232, 127.756, 45.0282, -109.534, 175.542
 -5.08027, 176.152, 495.049, 525.912, 24.1153, -157.98, 214.033, 270.88
 -135.212, -77.501, -733.308, 750.287, 105.007, 65.28, -276.591, 303.36
 -149.841, -85.2031, 1003.49, 1018.78, 130.877, 54.3144, 245.77, 284.055
 172.965, 49.0161, 447.05, 482.474, -155.634, -29.3237, 530.678, 554.313
 135.144, -85.3477, -112.239, 195.794, -119.198, 65.4687, 29.141, 145.383
 -60.3194, 178.009, 550.703, 582.138, 44.2429, -149.835, 1451.08, 1459.63
 128.055, -55.0819, 417.525, 440.637, -102.273, 59.2334, 53.0415, 130.349
 -138.825, -69.4759, 84.4735, 180.013, 140.916, 30.4329, 290.325, 326.002
 90.1865, -26.3139, 522.415, 530.987, 48.6501, -22.7006, 34.4192, 64.0606
 31.7095, 78.9127, -234.092, 250.018, -20.1674, -36.8226, 45.868, 62.4074
 46.8559, -174.649, -206.385, 275.057, 1.27177, -24.891, 98.3223, 101.695
 -185.606, -12.3215, -850.25, 870.772, 175.911, 15.413, -700.25, 722.486
 -161.076, 47.1777, -23.4047, 170.773, 140.765, -52.4213, 9.62369, 155.489
 -80.1185, -151.827, -61.2224, 183.584, 74.5322, 129.168, 180.993, 235.079
 52.9763, 165.44, -530.6, 560.815, -63.8879, -148.939, -145.753, 219.335
 -122.621, -67.6428, 1577.77, 1584.04, 104.512, 62.9469, 432.742, 449.983
 105.609, -137.959, 35.7464, 180.656, -123.498, 116.049, -128.754, 214.925
 171.877, 73.1418, 53.2491, 195.494, -165.457, -73.957, -40.2491, 188.225
 131.339, 108.748, -317.376, 361.201, -132.001, -88.5902, -57.186, 169.358
 -114.716, 31.7619, 258.57, 284.854, 101.69, -32.6142, -100.435, 147.976
 74.5, 144.767, 231.069, 283.614, -72.1439, -112.964, 535.067, 552.964
 -1.52159, 192.648, 682.172, 709.532, -9.21445, -169.943, 234.437, 291.008
 -68.1414, 171.06, -327.923, 376.632, 55.1006, -125.348, -197.959, 240.929
 -91.9209, 86.5722, -234.014, 267.32, 88.8267, -87.9031, -1355, 1361.13
 147.913, -75.5321, -203.795, 264.198, -135.779, 60.7213, -529.577, 550.443
 -33.1852, 181.042, 75.0289, 199.653, 23.2422, -176.059, 76.172, 195.537
 -156.961, -75.0749, -203.577, 270.127, 118.949, 57.3684, 45.7034, 140.13
 -88.0245, 117.935, -514.29, 535.863, 97.8731, -104.393, -140.291, 201.636
 80.5443, -141.481, 85.1785, 187.445, -76.7124, 136.684, 200.454, 254.751
 -164.758, -83.3385, 897.135, 916.26, 126.071, 53.982, 750.466, 763.309
 166.177, 48.3037, -80.6054, 191.371, -126.313, -8.83119, 66.7996, 144.531
 -93.4346, -134.805, 309.129, 350.874, 109.477, 115.03, 463.239, 490.387
 136.293, -57.4274, 114.714, 189.061, -23.9292, -33.0721, -1068.41, 1069.23
 -137.249, 127.573, -42.956, 193.408, 119.552, -131.327, 12.4311, 178.807
 -149.922, 137.186, 3.93654, 204.197, 134.813, -137.564, 34.3949, 197.939
 -83.5774, 113.923, -247.499, 286.168, 94.2417, -74.954, -272.669, 300.267
 38.5883, 154.55, -2699.69, 2704.39, -9.75556, -81.6194, -187.95, 206.37
 138.348, -45.9393, -122.622, 191.098, -114.043, 45.8111, 49.6798, 139.883
 104.818, 150.795, -261.281, 320.226, -103.056, -150.951, -504.094, 536.598
 82.4857, -9.11067, -759.37, 764.034, -59.4192, -2.09336, -4.27756, 59.8297
 19.2293, -123.277, -506.12, 521.575, -17.8293, 109.168, -8.18684, 111.598
 -190.208, 32.8781, 428.997, 471.502, 159.923, -44.989, 137.793, 219.005
 -138.495, 22.0363, -389.348, 414.478, 119.115, -28.5971, -6.7724, 122.964
 -38.2541, -54.6125, 629.891, 633.516, 6.82076, -46.5755, 165.675, 172.42
 -18.0153, -26.4849, 424.517, 425.837, -3.17743, 26.6259, 233.1, 234.754
 164.2, 117.813, 4.47109, 203.998, -144.922, -57.9371, 35.2338, 164.08
 22.6296, -11.0031, 630.063, 630.599, -6.57356, -23.9151, 332.238, 333.288
 178.774, -55.4435, 1.10925, 189.173, -69.8829, 31.2911, 48.823, 91.4893
 -77.1084, -173.399, 683.432, 709.369, 83.3169, 151.542, 251.178, 306.39
 -145.977, -66.3486, 198.624, 256.154, 138.045, 60.2608, 634.628, 652.627
 -27.5559, -191.649, -311.057, 367.205, -22.0074, 162.681, -265.915, 314.532
 -144.269, 128.112, 1808.58, 1818.91, 52.84, -68.1108, 654.438, 660.204
 107.792, -36.9138, -103.193, 154.224, 24.0902, 36.7023, -9.40324, 45.3113
 -42.2812, 146.953, -604.531, 623.684, 27.3808, -133.412, -1165.7, 1174.2
 157.586, -54.6086, -124.179, 210.816, -153.616, 39.8257, -387.512, 419.572
 93.4176, 12.361, 926.683, 931.693, -50.0364, -71.0705, 29.686, 92.5757
 -161.248, 59.3128, 750.956, 771.031, 132.314, -46.0434, 1211.49, 1219.77
 -49.6947, -56.5244, -361.708, 369.595, 41.3319, 58.2816, 57.7372, 92.0641
 -14.9888, 182.97, -306.648, 357.952, 9.21662, -178.646, -420.005, 459.438
